Make,Model,Year, price ,Engine Type,Horsepower,Torque,Fuel Economy,Body Style,Transmission,Drivetrain,Safety Ratings
BMW,X5,2020, 7101537 ,Diesel,347,300,27,Hatchback,Manual,AWD,5 stars
BMW,X5,2023, 6768517 ,Diesel,332,329,28.1,Coupe,Automatic,AWD,5 stars
BMW,X5,2022, 5046193 ,Diesel,321,351,25.8,Hatchback,Automatic,FWD,5 stars
BMW,X5,2018, 6513742 ,Diesel,312,333,29.4,SUV,Manual,AWD,5 stars
BMW,X5,2018, 5166359 ,Diesel,311,331,26.9,Truck,Manual,FWD,5 stars
BMW,X5,2021, 5601625 ,Diesel,324,331,24.6,Truck,Manual,RWD,5 stars
BMW,X5,2023, 5385699 ,Diesel,365,312,26.3,Coupe,Manual,FWD,5 stars
BMW,X5,2020, 4884818 ,Diesel,365,303,25.1,Coupe,Automatic,RWD,5 stars
BMW,X5,2016, 6176421 ,Diesel,340,310,24.6,Sedan,Manual,RWD,5 stars
BMW,X5,2018, 4970111 ,Diesel,341,316,29.5,Hatchback,Automatic,RWD,5 stars
BMW,X5,2022, 5089639 ,Diesel,349,299,26.3,SUV,Manual,FWD,5 stars
BMW,X5,2015, 535046 ,Diesel,346,341,24.9,Hatchback,Automatic,FWD,5 stars
BMW,X5,2021, 5178747 ,Diesel,346,361,28.2,Hatchback,Automatic,FWD,5 stars
BMW,X5,2017, 6209981 ,Diesel,304,345,25.4,Truck,Automatic,FWD,5 stars
BMW,X5,2018, 5859302 ,Diesel,304,306,26.9,SUV,Manual,FWD,5 stars
BMW,X5,2015, 4915789 ,Diesel,304,304,27.2,Coupe,Automatic,FWD,5 stars
BMW,X5,2015, 5559564 ,Diesel,326,311,24.8,Coupe,Automatic,RWD,5 stars
BMW,X5,2017, 642103 ,Diesel,315,307,25.2,SUV,Automatic,AWD,5 stars
BMW,X5,2016, 4815425 ,Diesel,308,333,24.5,SUV,Automatic,FWD,5 stars
BMW,X5,2020, 5078109 ,Diesel,325,301,28.3,Sedan,Manual,FWD,5 stars
BMW,X5,2020, 4811782 ,Diesel,345,297,27.4,Hatchback,Manual,RWD,5 stars
BMW,X5,2021, 5230459 ,Diesel,367,343,28.5,SUV,Automatic,AWD,5 stars
BMW,X5,2023, 6181563 ,Diesel,329,360,26,Truck,Manual,RWD,5 stars
BMW,X5,2022, 5012076 ,Diesel,302,327,24.4,Coupe,Manual,RWD,5 stars
BMW,X5,2020, 5805564 ,Diesel,311,341,27.1,Hatchback,Manual,RWD,5 stars
BMW,X5,2019, 596845 ,Diesel,359,335,25.7,Truck,Automatic,AWD,5 stars
BMW,X5,2021, 5768056 ,Diesel,346,321,25.8,Sedan,Manual,FWD,5 stars
BMW,X5,2018, 709052 ,Diesel,310,299,26.6,Truck,Manual,FWD,5 stars
BMW,X5,2021, 6487247 ,Diesel,303,356,26.7,SUV,Manual,FWD,5 stars
BMW,X5,2020, 5235551 ,Diesel,331,328,24.4,Truck,Automatic,AWD,5 stars
BMW,X5,2022, 6962873 ,Diesel,305,326,28.2,Truck,Manual,AWD,5 stars
BMW,X5,2017, 5638672 ,Diesel,334,300,26.8,Truck,Manual,RWD,5 stars
BMW,X5,2022, 6175954 ,Diesel,339,310,26.6,Coupe,Manual,AWD,5 stars
BMW,X5,2023, 6550986 ,Diesel,314,345,26.2,Sedan,Automatic,AWD,5 stars
BMW,X5,2016, 6300749 ,Diesel,363,356,28.1,Coupe,Automatic,AWD,5 stars
BMW,X5,2021, 5237556 ,Diesel,355,354,25.2,SUV,Manual,FWD,5 stars
BMW,X5,2021, 694829 ,Diesel,321,360,25.7,Hatchback,Automatic,FWD,5 stars
BMW,X5,2016, 6563127 ,Diesel,316,350,29.3,Sedan,Manual,FWD,5 stars
BMW,X5,2019, 7183275 ,Diesel,350,361,28.6,Coupe,Automatic,AWD,5 stars
BMW,X5,2018, 5715687 ,Diesel,337,355,28,Truck,Automatic,AWD,5 stars
BMW,X5,2022, 7119866 ,Diesel,354,306,28.2,SUV,Automatic,RWD,5 stars
BMW,X5,2022, 6567405 ,Diesel,363,354,27,Coupe,Automatic,AWD,5 stars
BMW,X5,2015, 6247079 ,Diesel,353,360,26.2,Hatchback,Automatic,AWD,5 stars
BMW,X5,2016, 6820442 ,Diesel,312,333,25.8,Hatchback,Automatic,RWD,5 stars
BMW,X5,2019, 7102188 ,Diesel,336,316,29.3,Hatchback,Manual,RWD,5 stars
BMW,X5,2020, 4963635 ,Diesel,317,297,29.1,SUV,Automatic,FWD,5 stars
BMW,X5,2020, 594837 ,Diesel,366,315,27,Truck,Automatic,FWD,5 stars
BMW,X5,2017, 6711573 ,Diesel,307,325,27.2,Coupe,Automatic,RWD,5 stars
BMW,X5,2016, 6023418 ,Diesel,357,352,24.3,Sedan,Manual,FWD,5 stars
BMW,X5,2023, 6057776 ,Diesel,344,315,27.5,Sedan,Manual,RWD,5 stars
BMW,X5,2022, 6333827 ,Diesel,346,339,28.9,SUV,Manual,RWD,5 stars
BMW,X5,2016, 4838966 ,Diesel,345,320,26.7,Hatchback,Manual,AWD,5 stars
BMW,X5,2019, 4955374 ,Diesel,358,309,29.2,SUV,Automatic,AWD,5 stars
BMW,X5,2015, 6229127 ,Diesel,336,344,26.1,Sedan,Automatic,AWD,5 stars
BMW,X5,2019, 5155837 ,Diesel,359,342,25.1,Truck,Manual,RWD,5 stars
BMW,X5,2016, 5011467 ,Diesel,332,352,28.2,SUV,Automatic,RWD,5 stars
BMW,X5,2017, 6332583 ,Diesel,326,360,28.8,SUV,Automatic,AWD,5 stars
BMW,X5,2018, 6936092 ,Diesel,337,306,24.9,Hatchback,Manual,FWD,5 stars
BMW,X5,2021, 6032669 ,Diesel,346,341,25,Coupe,Manual,RWD,5 stars
BMW,X5,2022, 5767593 ,Diesel,323,338,28.8,SUV,Automatic,AWD,5 stars
BMW,X5,2021, 6483305 ,Diesel,355,340,27.3,Sedan,Automatic,AWD,5 stars
BMW,X5,2021, 6038586 ,Diesel,322,361,29.6,Sedan,Automatic,FWD,5 stars
BMW,X5,2023, 5988201 ,Diesel,338,351,26.9,Hatchback,Automatic,RWD,5 stars
BMW,X5,2017, 5021728 ,Diesel,362,317,29.6,Hatchback,Automatic,FWD,5 stars
BMW,X5,2021, 6123921 ,Diesel,357,347,28.5,SUV,Automatic,RWD,5 stars
BMW,X5,2018, 6420408 ,Diesel,332,361,27.4,SUV,Automatic,RWD,5 stars
BMW,X5,2017, 6665358 ,Diesel,345,320,24.7,Sedan,Automatic,RWD,5 stars
BMW,X5,2016, 6759837 ,Diesel,342,328,26.7,SUV,Automatic,FWD,5 stars
BMW,X5,2022, 5483849 ,Diesel,315,300,26.3,Truck,Automatic,FWD,5 stars
BMW,X5,2019, 5807907 ,Diesel,327,304,26.3,Hatchback,Manual,AWD,5 stars
BMW,X5,2021, 7119942 ,Diesel,366,352,25.2,SUV,Manual,AWD,5 stars
BMW,X5,2017, 715995 ,Diesel,365,360,27.3,Truck,Automatic,RWD,5 stars
BMW,X5,2019, 5362942 ,Diesel,363,361,26.6,SUV,Manual,AWD,5 stars
BMW,X5,2021, 598615 ,Diesel,319,309,25.7,Coupe,Automatic,RWD,5 stars
BMW,X5,2021, 51973 ,Diesel,312,340,26.2,SUV,Manual,FWD,5 stars
BMW,X5,2018, 5607969 ,Diesel,318,333,27.9,Sedan,Manual,FWD,5 stars
BMW,X5,2023, 5327861 ,Diesel,351,306,26.8,Coupe,Manual,AWD,5 stars
BMW,X5,2020, 5974205 ,Diesel,310,342,24.3,Hatchback,Manual,FWD,5 stars
BMW,X5,2019, 6277123 ,Diesel,368,358,25.7,Sedan,Automatic,AWD,5 stars
BMW,X5,2021, 6663509 ,Diesel,328,348,28.4,Hatchback,Automatic,AWD,5 stars
BMW,X5,2017, 4819358 ,Diesel,358,340,27.1,Hatchback,Manual,FWD,5 stars
BMW,X5,2020, 6325239 ,Diesel,324,311,25.7,Truck,Manual,RWD,5 stars
BMW,X5,2016, 6997145 ,Diesel,324,325,26.1,Hatchback,Automatic,AWD,5 stars
BMW,X5,2016, 6983711 ,Diesel,308,353,26.9,Coupe,Automatic,AWD,5 stars
BMW,X5,2023, 5671101 ,Diesel,318,353,26.7,Coupe,Automatic,FWD,5 stars
BMW,X5,2023, 627808 ,Diesel,304,342,27.1,Truck,Manual,RWD,5 stars
